Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Hewitt,New Jersey,United States of America,Fall 2023,Public Affairs/Community Development (MS),Admit-Coming,A/C
Toledo,Ohio,United States of America,Fall 2024,Public Affairs/Community Development (MS),Withdrawn,Did Not A/C
Aurora,CO,United States of America,Fall 2023,Public Affairs/Community Development (MS),Denied,Did Not A/C
Orono,Maine,United States of America,Fall 2023,Public Affairs/Community Development (MS),Admit-Withdrawn,Did Not A/C
Berkeley,California,United States of America,Fall 2023,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Berkeley,California,United States of America,Fall 2023,Public Affairs/Community Development (MS),Denied,Did Not A/C
Cambridge,Massachusetts,United States of America,Fall 2023,Public Affairs/Community Development (MS),Admit-Withdrawn,Did Not A/C
Kenilworth,New Jersey,United States of America,Spring 2024,Biology (MS),Admit-Coming,A/C
Hillsborough,New Jersey,United States of America,Fall 2023,Computer Science: Scientific Computing (MS),Denied,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Admit-Withdrawn,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2023,English (MA),Denied,Did Not A/C
Irvington,New Jersey,United States of America,Fall 2023,English (MA),Admit-Not Coming,Did Not A/C
Iowa City,Iowa,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Pennsauken,New Jersey,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
N Brunswick,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Irvington,New Jersey,United States,Spring 2024,Data Science (MS),Started App,Did Not A/C
Somerset,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Trenton,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (MS),Withdrawn,Did Not A/C
Hillsborough Township,New Jersey,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Withdrawn,Did Not A/C
Egg Harbor City,New Jersey,United States,Spring 2024,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Mantua,New Jersey,United States of America,Spring 2024,Forensic Science (MS),Admit-Coming,A/C
Point Pleasant Boro,New Jersey,United States of America,Fall 2023,Biology (MS),Admit-Coming,A/C
Powhatan,Virginia,United States,Spring 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Evanston,Illinois,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Lakehills,Texas,United States of America,Fall 2024,Childhood Studies (PHD),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Teacher Education (NOD),Withdrawn,Did Not A/C
Ship Bottom,New Jersey,United States,Spring 2024,Biology (MS),Started App,Did Not A/C
Sacramento,CA,United States of America,Spring 2025,Mathematical Sciences (MS),Started App,Did Not A/C
Oaklyn,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Coming,A/C
Lancaster,Pennsylvania,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Withdrawn,Did Not A/C
Memphis,Tennessee,United States of America,Fall 2023,Chemistry (MS),Denied,Did Not A/C
Memphis,Tennessee,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Denied,Did Not A/C
Austin,Texas,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Hillsborough Township,New Jersey,United States of America,Fall 2023,Computer Science: Scientific Computing (MS),Denied,Did Not A/C
Maple Shade,New Jersey,United States,Fall 2023,Teacher Education (MAT),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2024,Criminal Justice (MA),Admit-Coming,A/C
Northfield,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Ewing,New Jersey,United States,Spring 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Bridgeton,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Admit-Coming,A/C
Kannapolis,North Carolina,United States of America,Fall 2023,Childhood Studies (PHD),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Data Science (MS),Admit-Coming,A/C
Trenton,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Harrison,New Jersey,United States of America,Spring 2024,Liberal Studies (NOD),Withdrawn,Did Not A/C
Burlington,New Jersey,United States,Fall 2023,Teacher Education (MAT),Started App,Did Not A/C
Deptford,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Skillman,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Clayton,New Jersey,United States,Fall 2024,Public Affairs/Community Development (MS),Started App,Did Not A/C
S Plainfield,New Jersey,United States of America,Fall 2023,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Admit-Coming,A/C
West Berlin,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Admit-Coming,A/C
Woodbury,New Jersey,United States,Fall 2024,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Started App,Did Not A/C
Williston,North Dakota,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Fort Lee,New Jersey,United States of America,Spring 2024,Biology: Computational and Integrative (PHD),Withdrawn,Did Not A/C
Delanco,New Jersey,United States,Spring 2024,Psychology: Psychological Sciences (NOD),Started App,Did Not A/C
New York,New York,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Not Coming,Did Not A/C
Camden,New Jersey,United States,Spring 2024,Biology (MS),Started App,Did Not A/C
Linden,New Jersey,United States of America,Spring 2024,Criminal Justice (MA),Withdrawn,Did Not A/C
Chester,New York,United States of America,Fall 2023,Biology (MS),Denied,Did Not A/C
Portland,Oregon,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Harrison,New Jersey,United States of America,Fall 2023,Business and Science - Computer and Information Sciences (MBS) Camden,Admit-Withdrawn,Did Not A/C
Newark,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Denied,Did Not A/C
Denver,Colorado,United States of America,Fall 2023,English (MA),Denied,Did Not A/C
Willoughby Hills,Ohio,United States of America,Fall 2023,English (MA),Denied,Did Not A/C
Brooksville,Florida,United States of America,Fall 2023,Biology (MS),Denied,Did Not A/C
Laurel,Maryland,United States of America,Fall 2023,Chemistry (MS),Deferred to Spring,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,English (MA),Denied,Did Not A/C
Lakehills,Texas,United States of America,Fall 2023,Teacher Education - Spanish (MAT),Withdrawn,Did Not A/C
Lakehills,Texas,United States of America,Fall 2023,Childhood Studies (MA),Denied,Did Not A/C
Lakehills,Texas,United States of America,Fall 2023,Teacher Education (MAT),Withdrawn,Did Not A/C
Ewing,New Jersey,United States,Spring 2024,Criminal Justice (MA),Started App,Did Not A/C
Burlington,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Denied,Did Not A/C
Reading,Pennsylvania,United States,Fall 2023,Teacher Education - Spanish (MAT),Started App,Did Not A/C
Bridgewater,New Jersey,United States,Fall 2024,Biology (MS),Started App,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Hamilton,New York,United States of America,Fall 2023,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Fort Worth,Texas,United States of America,Fall 2023,Prevention Science (MS),Withdrawn,Did Not A/C
New Park,Pennsylvania,United States of America,Fall 2023,Chemistry (MS),Denied,Did Not A/C
Middleton,Wisconsin,United States of America,Spring 2024,Data Science (MS),Admit-Withdrawn,Did Not A/C
Collingswood,New Jersey,United States,Spring 2024,"History (American, Global, Public) (MA)",Started App,Did Not A/C
Delran,New Jersey,United States of America,Fall 2024,English (MA),Denied,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Medford,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Ridgewood,New Jersey,United States of America,Fall 2023,Biology (MS),Admit-Withdrawn,Did Not A/C
Westbury,New York,United States of America,Spring 2024,Biology (MS),Withdrawn,Did Not A/C
Lumberton,New Jersey,United States,Spring 2024,Forensic Science (MS),Started App,Did Not A/C
Swedesboro,New Jersey,United States,Fall 2023,Teacher Education (MAT),Started App,Did Not A/C
Fort Dix,New Jersey,United States,Fall 2023,Liberal Studies - Online (MA),Withdrawn,Did Not A/C
Chicago,Illinois,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Trenton,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Denied,Did Not A/C
Bloomfield,ConneConnecticuticut,United States of America,Fall 2023,Mathematical Sciences (MS),Admit-Coming,A/C
N Wilkesboro,North Carolina,United States of America,Fall 2024,Public Affairs/Community Development (MS),Admit-Withdrawn,Did Not A/C
Ocean,New Jersey,United States,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Started App,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Admit-Coming,A/C
Mount Ephraim,New Jersey,United States of America,Spring 2024,Criminal Justice (MA),Deferred to Fall,Did Not A/C
wimauma,Florida,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Boston,Massachusetts,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Denied,Did Not A/C
Chicago,Illinois,United States of America,Fall 2024,Childhood Studies (PHD),Admit-Not Coming,Did Not A/C
Jackson,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Admit-Coming,A/C
State College,Pennsylvania,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Admit-Withdrawn,Did Not A/C
Calabasas,California,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Baltimore,Maryland,United States,Fall 2024,Childhood Studies (PHD),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Admit-Not Coming,Did Not A/C
New Monmouth,New Jersey,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Willingboro,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Started App,Did Not A/C
Mechanicsville,Virginia,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Started App,Did Not A/C
Yardley,Pennsylvania,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Hamilton,New Jersey,United States,Fall 2024,Biology (MS),Started App,Did Not A/C
Collingswood,New Jersey,United States,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Palisades Park,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Woodbury,New Jersey,United States,Spring 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Titusville,New Jersey,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Morganville,New Jersey,United States of America,Spring 2024,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,Did Not A/C
Santa Cruz,California,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Salem,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Bellmawr,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Coming,A/C
Woodbridge,New Jersey,United States,Spring 2024,Childhood Studies (MA),Started App,Did Not A/C
Bloomington,Indiana,United States of America,Fall 2023,Liberal Studies - Online (MA),Withdrawn,Did Not A/C
Highland Park,New Jersey,United States of America,Fall 2024,Prevention Science (PHD),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Deferred to Spring,Did Not A/C
Marlboro,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Deferred to Fall,Did Not A/C
East Orange,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Monroe,Ohio,United States,Spring 2024,Data Science (MS),Started App,Did Not A/C
Alton,Illinois,United States of America,Fall 2023,Liberal Studies - Online (MA),Deferred to Spring,Did Not A/C
Westfield,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Coming,A/C
Camden,New Jersey,United States of America,Fall 2023,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Hamilton,New Jersey,United States of America,Fall 2023,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Carneys Point,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Not Coming,Did Not A/C
San Francisco,California,United States,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Monmouth JunConnecticution,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Not Coming,Did Not A/C
Somerset,New Jersey,United States of America,Fall 2024,Data Science (MS),Withdrawn,Did Not A/C
Union,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Lakewood,California,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Pennsauken,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Withdrawn,Did Not A/C
Willingboro,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Deferred to Spring,Did Not A/C
Voorhees,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Admit-Coming,A/C
Camden Wyoming,Delaware,United States of America,Fall 2024,Prevention Science (PHD),Started App,Did Not A/C
Santa Clara,California,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Coming,A/C
Summit,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Admit-Coming,A/C
Petersburg,Nebraska,United States of America,Fall 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
Pennsauken,New Jersey,United States of America,Spring 2024,"History (American, Global, Public) (MA)",Admit-Not Coming,Did Not A/C
Charlotte,North Carolina,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Buffalo JunConnecticution,Virginia,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2024,Biology (MS),Started App,Did Not A/C
louisville,kentucky,United States of America,Spring 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Moorestown,New Jersey,United States of America,Spring 2025,Chemistry (NOD),Started App,Did Not A/C
Northfield,MN,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Glassboro,New Jersey,United States of America,Spring 2024,Data Science (MS),Started App,Did Not A/C
Newark,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Waterford works,New Jersey,United States of America,Spring 2024,Biology (MS),Admit-Not Coming,Did Not A/C
Maplewood,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Brookline,Massachusetts,United States of America,Fall 2024,Childhood Studies (MA),Admit-Withdrawn,Did Not A/C
Morgantown,West Virginia,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Admit-Not Coming,Did Not A/C
Deptford,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
New Brunswick,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Bellmawr,New Jersey,United States of America,Spring 2025,Data Science (MS),Started App,Did Not A/C
Vineland,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Riverside,New Jersey,United States of America,Fall 2024,Biology (MS),Started App,Did Not A/C
Yardley,Pennsylvania,United States of America,Spring 2024,Public Administration - On Campus (NOD),Started App,Did Not A/C
Vineland,New Jersey,United States of America,Fall 2023,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Camden,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Freehold,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Clarkston,Georgia,United States of America,Spring 2024,Data Science (MS),Started App,Did Not A/C
Vineland,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Started App,Did Not A/C
West Columbia,Texas,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Laurel,Maryland,United States of America,Spring 2024,Chemistry (MS),Admit-Coming,A/C
Harrisburg,Pennsylvania,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Runnemede,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Admit-Coming,A/C
Sayreville,New Jersey,United States of America,Spring 2024,Biology (MS),Started App,Did Not A/C
New York,New York,United States of America,Fall 2024,Criminal Justice (MA),Started App,Did Not A/C
Alton,Illinois,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Buffalo,New York,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Upper Marlboro,Maryland,United States of America,Spring 2024,Criminal Justice (MA),Started App,Did Not A/C
Haddonfield,New Jersey,United States of America,Fall 2023,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Admit-Coming,A/C
Camp Hill,Pennsylvania,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Denied,Did Not A/C
Ewing,New Jersey,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Mount Laurel,New Jersey,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Avenel,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Started App,Did Not A/C
Ridgewood,New York,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Tampa,Florida,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
New York,New York,United States of America,Fall 2024,Prevention Science (PHD),Admit-Withdrawn,Did Not A/C
Haddon Heights,New Jersey,United States of America,Spring 2024,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
fall river,Massachusetts,United States of America,Spring 2024,Biology: Computational and Integrative (MS),Denied,Did Not A/C
Mechanicsburg,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Fords,New Jersey,United States of America,Spring 2024,Forensic Science (MS),Admit-Coming,A/C
Norfolk,Virginia,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Moorestown,New Jersey,United States of America,Fall 2024,Prevention Science (PHD),Admit-Not Coming,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Bowie,Maryland,United States of America,Fall 2024,Forensic Science (MS),Started App,Did Not A/C
Phila,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Edison,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Coming,A/C
Hamilton,New Jersey,United States of America,Spring 2024,Mathematical Sciences (MS),Admit-Coming,A/C
Chino Hills,California,United States of America,Spring 2024,Data Science (MS),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Coming,A/C
WILLINGBORO,New Jersey,United States of America,Spring 2024,Childhood Studies (MA),Admit-Withdrawn,Did Not A/C
Savannah,Georgia,United States of America,Fall 2024,Prevention Science (PHD),Started App,Did Not A/C
Carbondale,Illinois,United States of America,Fall 2024,Childhood Studies (PHD),Started App,Did Not A/C
Dunnsville,Virginia,United States of America,Fall 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Portland,Maine,United States of America,Spring 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Phoenixville,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Westampton,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Not Coming,Did Not A/C
Ewing,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (MS),Admit-Not Coming,Did Not A/C
Attleboro,Massachusetts,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Princeton JConnecticut,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Admit-Not Coming,Did Not A/C
Gloucester City,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Coming,A/C
Bordentown,New Jersey,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Carneys Point,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Marlboro,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Not Coming,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Withdrawn,Did Not A/C
Manalapan,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
South Portland,Maine,United States of America,Fall 2024,Childhood Studies (PHD),Admit-Coming,A/C
Omaha,Nebraska,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Hamilton,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Deferred to Spring,Did Not A/C
Bronx,New York,United States of America,Spring 2024,Data Science (MS),Withdrawn,Did Not A/C
East Orange,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Deferred to Spring,Did Not A/C
Delanco,New Jersey,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Roseville,Michigan,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
Stratford,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Waldwick,New Jersey,United States of America,Spring 2024,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Raleigh,North Carolina,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Monroe Township,New Jersey,United States of America,Spring 2025,Chemistry (MS),Started App,Did Not A/C
New York,New York,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Jupiter,Florida,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Started App,Did Not A/C
East Brunswick,New Jersey,United States of America,Fall 2024,Public Administration - Dual MPA/MA Public Administration Criminal Justice (MPA),Started App,Did Not A/C
Lubbock,Texas,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Denied,Did Not A/C
Romeoville,Illinois,United States of America,Spring 2024,Biology (MS),Denied,Did Not A/C
Brooklyn,NY,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Durham,North Carolina,United States of America,Fall 2024,Creative Writing (MFA) Camden,Admit-Withdrawn,Did Not A/C
Elmer,New Jersey,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Data Science (MS),Started App,Did Not A/C
Mount Ephraim,New Jersey,United States of America,Spring 2024,Criminal Justice (MA),Admit-Coming,A/C
Robbinsville,New Jersey,United States of America,Spring 2024,Liberal Studies - Online (MA),Withdrawn,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2024,Teacher Education (MAT),Admit-Not Coming,Did Not A/C
Seattle,Washington,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Coming,A/C
Phila,Pennsylvania,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Coming,A/C
ASBURY PARK,New Jersey,United States of America,Fall 2024,English - Accelerated Degree BA/MA (MA),Withdrawn,Did Not A/C
Fredericksbrg,Virginia,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
New Brunswick,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Saint Louis,Missouri,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Medfield,Massachusetts,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Maple Shade,New Jersey,United States of America,Fall 2024,Prevention Science (PHD),Started App,Did Not A/C
Conshohocken,Pennsylvania,United States of America,Spring 2024,Computer Science: Scientific Computing (NOD),Withdrawn,Did Not A/C
Sea Isle City,New Jersey,United States of America,Spring 2024,Forensic Science (MS),Admit-Coming,A/C
Belleville,New Jersey,United States of America,Spring 2024,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Hickory,North Carolina,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Monroe Township,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
West Deptford,New Jersey,United States of America,Summer 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Coming,A/C
VOORHEES,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (MS),Started App,Did Not A/C
Beverly,New Jersey,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Prevention Science (PHD),Started App,Did Not A/C
Seattle,Washington,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Not Coming,Did Not A/C
Camden,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (MPA),Deferred to Fall,Did Not A/C
New Orleans,Louisiana,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Trenton,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Eastampton Township,New Jersey,United States of America,Fall 2024,Prevention Science (MS),Admit-Coming,A/C
Toms River,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Started App,Did Not A/C
Lindenwold,New Jersey,United States of America,Fall 2024,Prevention Science (PHD),Admit-Coming,A/C
Hammonton,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Havertown,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Admit-Coming,A/C
Eagan,Minnesota,United States of America,Spring 2024,Liberal Studies - Online (NOD),Withdrawn,Did Not A/C
West Berlin,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Started App,Did Not A/C
Woodbury,New Jersey,United States of America,Spring 2024,Mathematical Sciences (MS),Admit-Coming,A/C
Pennsauken,New Jersey,United States of America,Spring 2024,Public Administration - On Campus (NOD),Withdrawn,Did Not A/C
